id,concurso_id,disciplina_id,peso_edital,score_prioridade,enunciado,alternativas,gabarito,explicacao,distrator_principal,nivel_dificuldade,estilo_quadrix,criada_em,criada_por,pilula_do_dia,vacina_legislacao
00b330be-9b59-400a-b3f3-caaf5fa0be50,sedes_df_2026,suas_fundamentos,2,190,"De acordo com a Lei Orgânica da Assistência Social (LOAS — Lei n.º 8.742/1993), o Benefício de Prestação Continuada (BPC) é operacionalizado pelo INSS e seu financiamento é de responsabilidade da União. Acerca do BPC, assinale a alternativa correta.","[{""letra"":""A"",""texto"":""O BPC é financiado pelo Fundo Nacional de Assistência Social (FNAS), com cofinanciamento obrigatório dos estados e municípios."",""correta"":false},{""letra"":""B"",""texto"":""O BPC é operacionalizado pelo CRAS, que realiza o cadastramento dos beneficiários e o pagamento mensal do benefício."",""correta"":false},{""letra"":""C"",""texto"":""O BPC é devido à pessoa com deficiência e ao idoso com 65 anos ou mais que comprovem não possuir meios de prover a própria manutenção nem de tê-la provida por sua família, correspondendo a 1 salário mínimo mensal."",""correta"":true},{""letra"":""D"",""texto"":""O BPC pode ser acumulado com aposentadoria ou pensão do Regime Geral de Previdência Social, desde que o valor total não ultrapasse 2 salários mínimos."",""correta"":false},{""letra"":""E"",""texto"":""A renda per capita familiar para fins de concessão do BPC deve ser inferior a 1/2 salário mínimo, conforme redação original da LOAS, mantida até os dias atuais."",""correta"":false}]",C,"A resposta correta é C porque o art. 20 da LOAS define literalmente que o BPC garante 1 salário mínimo mensal à pessoa com deficiência e ao idoso com 65 anos ou mais sem meios de prover a própria manutenção. A alternativa A erra ao atribuir cofinanciamento de estados e municípios — o BPC é custeado exclusivamente pela União (art. 10, LOAS). A alternativa B confunde competências: o BPC é operacionalizado pelo INSS, não pelo CRAS. A alternativa D erra porque o BPC não pode ser acumulado com benefício previdenciário (art. 20, §4º). A alternativa E usa o critério de 1/4 de salário mínimo (critério atual), não 1/2.",troca_quem_paga,3,"[""literalidade"",""pegadinha_competencia"",""troca_quem_paga""]",2026-05-17 21:49:51.005523+00,claude_api,,false
03186b96-71ae-448d-a40b-555b9ec30113,sedes_df_2026,direito_constitucional,2,156,"O art. 1º da Constituição Federal de 1988 elenca os fundamentos da República Federativa do Brasil. De acordo com a literalidade desse dispositivo, assinale a alternativa que apresenta APENAS fundamentos expressamente previstos no referido artigo.","[{""letra"":""A"",""texto"":""A soberania, a cidadania, a dignidade da pessoa humana, o pluralismo político e a separação dos poderes."",""correta"":false},{""letra"":""B"",""texto"":""A soberania, a cidadania, a dignidade da pessoa humana, os valores sociais do trabalho e da livre iniciativa, e o pluralismo político."",""correta"":true},{""letra"":""C"",""texto"":""A soberania, a cidadania, a dignidade da pessoa humana, o pluralismo político e a prevalência dos direitos humanos."",""correta"":false},{""letra"":""D"",""texto"":""A soberania, a cidadania, a igualdade, os valores sociais do trabalho e da livre iniciativa, e o pluralismo político."",""correta"":false},{""letra"":""E"",""texto"":""A soberania, a cidadania, a dignidade da pessoa humana, a legalidade e o pluralismo político."",""correta"":false}]",B,"A resposta correta é B porque o art. 1º, incisos I a V, da CF/88 elenca expressamente: I – a soberania; II – a cidadania; III – a dignidade da pessoa humana; IV – os valores sociais do trabalho e da livre iniciativa; V – o pluralismo político. A alternativa A insere 'separação dos poderes', que é princípio do art. 2º. A alternativa C insere 'prevalência dos direitos humanos', que é princípio das relações internacionais (art. 4º, II). A alternativa D substitui 'dignidade da pessoa humana' por 'igualdade'. A alternativa E insere 'legalidade', que é princípio da administração pública (art. 37).",falsa_exclusividade,3,"[""literalidade"",""pegadinha_confusao_artigos""]",2026-05-17 22:05:14.829615+00,claude_api,,false
033b0f7d-b86a-4005-bde6-1700bc762ec6,sedes_df_2026,recursos_materiais_patrimonio,2,144,"Quanto à classificação de materiais na administração pública, um servidor questiona se determinado item deve ser registrado como material de consumo ou como bem permanente. Assinale a alternativa que apresenta critério CORRETO para essa distinção.","[{""letra"":""A"",""texto"":""É considerado bem permanente todo material cujo valor unitário de aquisição seja superior a R$ 100,00, independentemente de sua durabilidade."",""correta"":false},{""letra"":""B"",""texto"":""Material de consumo é aquele que, em razão de seu uso corrente, perde sua identidade física ou tem sua utilização limitada a dois anos."",""correta"":false},{""letra"":""C"",""texto"":""Resmas de papel A4 utilizadas em impressoras são classificadas como material de consumo, pois se incorporam ao produto final ou se desgastam até a perda de sua identidade com o uso."",""correta"":true},{""letra"":""D"",""texto"":""Um microcomputador é classificado como material de consumo quando adquirido em quantidade superior a dez unidades, por caracterizar compra de reposição rotineira."",""correta"":false},{""letra"":""E"",""texto"":""A classificação como bem permanente é feita exclusivamente pelo almoxarifado central, não podendo o setor requisitante interferir no processo de categorização."",""correta"":false}]",C,"A resposta correta é C porque, conforme o Manual SIAFI e a Portaria SOF n.º 8/1985, material de consumo é aquele que, em razão de seu uso corrente, perde sua identidade física e/ou tem sua utilização limitada ao se incorporar ao produto final, como é o caso de papel A4. A alternativa A usa critério de valor de forma isolada e equivocada — o valor é um dos critérios auxiliares, não o único. B erra ao fixar prazo rígido de 'dois anos' para material de consumo — o critério correto é perda de identidade com o uso, não prazo fixo. D é absurda e constitui pegadinha de confundir quantidade com classificação. E aplica falsa exclusividade ao almoxarifado.",troca_prazo,3,"[""literalidade"",""pegadinha_classificacao"",""falsa_exclusividade""]",2026-05-17 22:09:37.261488+00,claude_api,,false
0392cb80-5edd-4328-a1c3-9491d1831290,sedes_df_2026,maria_da_penha,1,75,"As medidas protetivas de urgência previstas na Lei Maria da Penha podem ser requeridas pela própria vítima, pelo Ministério Público ou pela autoridade policial. Qual órgão do Poder Judiciário é competente para apreciar e deferir essas medidas?","[{""letra"":""A"",""texto"":""Exclusivamente o juiz da Vara de Família, mesmo em casos de risco imediato"",""correta"":false},{""letra"":""B"",""texto"":""O juiz criminal da comarca, inclusive de forma liminar e sem necessidade de audiência prévia"",""correta"":true},{""letra"":""C"",""texto"":""O delegado de polícia, que pode deferir medidas preventivas antes da apresentação ao juiz"",""correta"":false},{""letra"":""D"",""texto"":""Exclusivamente a Defensoria Pública, que atua como órgão de proteção jurisdicional"",""correta"":false},{""letra"":""E"",""texto"":""O Tribunal de Justiça em primeira instância, conforme competência originária"",""correta"":false}]",B,"Conforme arts. 18 a 21 da Lei Maria da Penha, o juiz criminal (não o de família, não o delegado) é competente para conceder medidas protetivas de urgência, inclusive de forma liminar e sem necessidade de audiência prévia da parte contrária, em casos de risco à integridade física ou moral da vítima. A alternativa A tenta desviar para a Vara de Família; C tenta atribuir ao delegado competência que é judicial.",troca_competencia,3,"[""literalidade"",""competencia_judicial""]",2026-05-17 21:38:58.746811+00,claude_api,,true
0428fcad-aeac-4d55-9f2e-827876af9e71,sedes_df_2026,arquivologia_rotinas_atendimento,2,170,"Quanto à classificação de documentos quanto ao grau de sigilo, conforme o Decreto n.º 7.845/2012, que regulamenta a Lei n.º 12.527/2011 (LAI), assinale a alternativa correta sobre os prazos máximos de restrição de acesso.","[{""letra"":""A"",""texto"":""Documentos ultrassecretos podem ter prazo de restrição de acesso de até 15 anos, prorrogável uma única vez por igual período."",""correta"":false},{""letra"":""B"",""texto"":""Documentos secretos podem ter prazo de restrição de acesso de até 25 anos, improrrogável."",""correta"":false},{""letra"":""C"",""texto"":""Documentos ultrassecretos podem ter prazo de restrição de acesso de até 25 anos, renovável uma única vez."",""correta"":true},{""letra"":""D"",""texto"":""Documentos reservados podem ter prazo de restrição de acesso de até 15 anos, prorrogável por mais 10 anos mediante justificativa fundamentada."",""correta"":false},{""letra"":""E"",""texto"":""Documentos secretos e ultrassecretos possuem o mesmo prazo máximo de 25 anos, diferenciando-se apenas pela autoridade competente para classificá-los."",""correta"":false}]",C,"A resposta correta é C porque o art. 24, § 1.º, da Lei n.º 12.527/2011 estabelece que documentos ultrassecretos terão prazo máximo de restrição de 25 anos, renovável uma única vez. Documentos secretos têm prazo de até 15 anos (não 25, como induz a alternativa B). Documentos reservados têm prazo de até 5 anos (a alternativa D troca o prazo, configurando a pegadinha típica Quadrix de troca de prazos). A alternativa E comete falsa equivalência entre graus distintos.",troca_prazo,3,"[""literalidade"",""pegadinha_prazo"",""troca_modalidade""]",2026-05-17 22:02:39.567704+00,claude_api,,false
042c53cf-6e1b-444f-a4be-0def06f18c61,sedes_df_2026,recursos_materiais_patrimonio,2,144,"Em relação à baixa patrimonial na administração pública, que consiste na exclusão do bem do acervo patrimonial do órgão, assinale a alternativa que apresenta hipótese INCORRETA para a realização da baixa:","[{""letra"":""A"",""texto"":""Alienação do bem, mediante processo licitatório ou nas hipóteses legais de dispensa."",""correta"":false},{""letra"":""B"",""texto"":""Extravio ou sinistro devidamente apurado por processo administrativo, com identificação ou não do responsável."",""correta"":false},{""letra"":""C"",""texto"":""Cessão de uso do bem a outro órgão público, que implica automaticamente a baixa patrimonial no órgão cedente e o tombamento imediato no patrimônio do órgão cessionário."",""correta"":true},{""letra"":""D"",""texto"":""Inutilização do bem, quando este se tornar antieconômico para reparo ou recuperação, após avaliação técnica."",""correta"":false},{""letra"":""E"",""texto"":""Doação do bem a entidades sem fins lucrativos, desde que atendidas as condições legais e autorização do ordenador de despesas."",""correta"":false}]",C,"A resposta correta (hipótese INCORRETA) é C porque a cessão de uso não implica baixa patrimonial no órgão cedente. Na cessão, o bem continua registrado no patrimônio do cedente; apenas sua posse é transferida temporariamente ao cessionário, que não procede ao tombamento em seu acervo. A baixa patrimonial ocorre nas hipóteses de alienação, inutilização, extravio/sinistro e doação — todas corretamente listadas nas demais alternativas. A pegadinha Quadrix está em confundir cessão de uso (que é mera transferência de posse) com alienação ou doação (que efetivamente transferem a propriedade e geram baixa).",troca_competencia,4,"[""literalidade"",""pegadinha_competencia"",""inversao_conceito""]",2026-05-17 22:08:46.973224+00,claude_api,,false
044012fb-e43e-4017-9715-fdd8b34906ec,sedes_df_2026,suas_fundamentos,2,190,"De acordo com a Lei n.º 8.742/1993 (LOAS), o Benefício de Prestação Continuada (BPC) consiste na garantia de um salário mínimo mensal à pessoa com deficiência e ao idoso que comprovem não possuir meios de prover a própria manutenção. Acerca da operacionalização desse benefício, assinale a alternativa correta.","[{""letra"":""A"",""texto"":""O BPC é financiado com recursos do Fundo Nacional de Assistência Social (FNAS) e sua operacionalização é de responsabilidade exclusiva dos municípios."",""correta"":false},{""letra"":""B"",""texto"":""O BPC é devido ao idoso com 60 anos ou mais que comprove renda familiar per capita inferior a um quarto do salário mínimo."",""correta"":false},{""letra"":""C"",""texto"":""O BPC é financiado pela União e operacionalizado pelo Instituto Nacional do Seguro Social (INSS), não estando condicionado à contribuição à seguridade social."",""correta"":true},{""letra"":""D"",""texto"":""O BPC é financiado pela União e operacionalizado pelos Centros de Referência de Assistência Social (CRAS) de cada município."",""correta"":false},{""letra"":""E"",""texto"":""O BPC integra o sistema de seguro social contributivo, sendo custeado pelas contribuições dos trabalhadores e empregadores."",""correta"":false}]",C,"A resposta correta é C porque, nos termos do art. 20 e art. 44 da LOAS, o BPC é financiado com recursos da União (provenientes do orçamento da Seguridade Social) e sua operacionalização — concessão, manutenção e revisão — é atribuição do INSS. Além disso, o art. 1.º da LOAS é expresso ao afirmar que a assistência social é direito do cidadão e dever do Estado, não vinculada a contribuição. A alternativa A erra ao atribuir a operacionalização aos municípios (troca de competência federal/municipal). A alternativa B erra ao indicar 60 anos, pois a Lei n.º 10.741/2003 e a própria LOAS fixam 65 anos para o idoso. A alternativa D erra ao atribuir a operacionalização ao CRAS. A alternativa E erra ao caracterizar o BPC como benefício contributivo.",troca_quem_paga,3,"[""literalidade"",""pegadinha_competencia"",""troca_quem_paga""]",2026-05-17 21:48:48.470977+00,claude_api,,false
04964f1b-c6ba-4380-aa92-d345a5a06b0b,sedes_df_2026,maria_da_penha,1,75,Qual é o prazo máximo para o juiz conceder ou denegar as medidas protetivas de urgência solicitadas no âmbito da Lei Maria da Penha?,"[{""letra"":""A"",""texto"":""Sem prazo específico; cabe ao juiz decidir conforme agenda"",""correta"":false},{""letra"":""B"",""texto"":""No máximo 48 horas após o recebimento do requerimento"",""correta"":true},{""letra"":""C"",""texto"":""No máximo 10 dias úteis"",""correta"":false},{""letra"":""D"",""texto"":""No máximo 30 dias, contados da distribuição da ação penal"",""correta"":false},{""letra"":""E"",""texto"":""Apenas quando houver condenação em primeira instância"",""correta"":false}]",B,"O artigo 18 da Lei 11.340/2006 estabelece expressamente que 'o juiz poderá conceder as medidas protetivas de urgência, independentemente de processo criminal correlato, fixando o respectivo prazo de validade não superior a seis meses, podendo este ser renovado caso persista risco à integridade física ou psicológica da mulher'. O artigo 19 reforça que o juiz deve conceder medidas de urgência no prazo máximo de 48 horas.",troca_prazo,3,"[""literalidade"",""prazo_processual""]",2026-05-17 22:15:25.04286+00,claude_api,,true
0509f01f-aa65-49fd-95d7-98ac25488507,sedes_df_2026,lei_organica_df,1,82,"De acordo com a Lei Orgânica do Distrito Federal, como é eleito o Governador do Distrito Federal?","[{""letra"":""A"",""texto"":""Indicado pela Câmara Legislativa"",""correta"":false},{""letra"":""B"",""texto"":""Nomeado pelo Presidente da República"",""correta"":false},{""letra"":""C"",""texto"":""Eleito pelo povo por voto direto"",""correta"":true},{""letra"":""D"",""texto"":""Indicado pelo Tribunal de Justiça do DF"",""correta"":false},{""letra"":""E"",""texto"":""Eleito exclusivamente pelos deputados distritais"",""correta"":false}]",C,"A LODF estabelece que o Governador é eleito pelo povo, por voto direto e secreto, em conformidade com os princípios democráticos. A soberania popular é expressamente reconhecida para este cargo.",troca_competencia,2,"[""literalidade"",""pegadinha_competencia""]",2026-05-17 21:35:42.745209+00,claude_api,,true
054e6649-6507-4654-9515-52327247896b,sedes_df_2026,lei_organica_df,1,82,"De acordo com a LODF, qual é o período de mandato dos 24 deputados que compõem a Câmara Legislativa?","[{""letra"":""A"",""texto"":""2 anos, renovável uma única vez"",""correta"":false},{""letra"":""B"",""texto"":""4 anos, com possibilidade de reeleição"",""correta"":true},{""letra"":""C"",""texto"":""3 anos, sem possibilidade de reeleição"",""correta"":false},{""letra"":""D"",""texto"":""6 anos, conforme regra dos senadores federais"",""correta"":false},{""letra"":""E"",""texto"":""5 anos, com renovação alternada"",""correta"":false}]",B,A LODF estabelece que os deputados distritais possuem mandato de 4 anos. A alternativa B é correta pois reflete a literalidade da lei. As demais apresentam períodos diversos ou condições não previstas na LODF.,troca_prazo,2,"[""literalidade""]",2026-05-17 21:35:42.745209+00,claude_api,,true
